entry,key,metric_name,family,family_name,business_question,formula,numerator,denominator,window,filters,grain,unit,required_fields,interpretation,common_failure,verification,common_variants,owned_by
B.9.12,selection_share,Selection share,B.9,Regression and predictive-model evaluation,What fraction of the scorable population can the program actually treat?,Program capacity / the population the model can honestly score,Funded treatment slots,"The eligible, scorable population",As of the scoring run,The declared eligibility rule,"One program, one population",Proportion,A declared capacity and the eligible population count,"Capacity is a count, not a proportion: it does not grow if the eligible population turns out to be larger. The share is computed rather than typed.","Typing a proportion, which nobody re-derives when the population changes.",Recompute whenever the eligibility rule changes. It is also the capture floor that random ordering achieves in expectation; any single realized random list scatters around it.,,"Chapter 8, Section 8.6"
B.10.1,base_rate,Base rate,B.10,Classification and ranked targeting,How common is the outcome we are trying to find?,Positive cases / evaluated cases,Cases in the positive class,All evaluated cases,The outcome window,The declared eligible population,"One case, reported for a population",Proportion,The label,The single most important number in a classification project and the one most reliably missing from celebrated results. It is a constructed number: a fact about the population under this label definition.,"Reporting any classification metric without it. Accuracy, precision, and lift are uninterpretable in its absence.",No classification result leaves the workspace without its base rate in the same exhibit. A drifting base rate silently re-prices the threshold even when the ordering holds.,,"Chapter 9, Section 9.2"
B.10.2,confusion_matrix,"Confusion-matrix counts (TP, FP, FN, TN)",B.10,Classification and ranked targeting,"At this threshold, who did the model reach, miss, and correctly leave alone?",Cross the actual class against the predicted class at a stated threshold; every evaluated case lands in exactly one of four cells,Not applicable - four counts,Not applicable,The outcome window,"The evaluated set, at one stated threshold",One case; the four counts describe the evaluated set,Counts,"Predicted class at a stated threshold, and the actual label","Every threshold-dependent classification metric is an arithmetic summary of these four counts, and changing the threshold changes the matrix. In campaign language: offer sent and customer was leaving; offer sent and customer was staying; no offer and customer left; no offer and customer stayed.","Pasting a matrix into a deck without re-adding it. A matrix that does not sum is a pasted matrix, and pasted matrices are how wrong numbers reach decks.","Assert that the four counts sum to the evaluated set, then recompute precision and recall from the raw counts.",,"Chapter 9, Section 9.6"
B.10.3,accuracy,Accuracy,B.10,Classification and ranked targeting,What share of cases did the model classify correctly?,(True positives + true negatives) / all evaluated cases,Correctly classified cases,All evaluated cases,The outcome window,"The evaluated set, at one stated threshold","One case, reported for the evaluated set",Proportion,Predicted class and actual label,Under imbalance it is dominated by the model's performance on the class nobody is asking about.,"Using it as a headline. On the worked ten-customer file, accuracy is 0.70 at both the 0.50 and the 0.30 threshold, while expected net value moves from $32 to $48 - accuracy has failed to detect a difference the program will pay for.","Report it only beside the base rate and the majority-class baseline, and compute the margin between them.",,"Chapter 9, Section 9.6"
B.10.4,precision,Precision,B.10,Classification and ranked targeting,"Of the customers we treated, how many were the real thing?",True positives / (true positives + false positives),True positives,"All predicted positives - that is, everyone treated",The outcome window,"The evaluated set, at one stated threshold","One case, reported for the evaluated set",Proportion,Predicted class and actual label,"The purity of the target list. On the worked file, precision of 0.50 means half the retention budget landed on customers who were staying anyway.","Quoting precision and recall achieved at different thresholds, or quoting either without its threshold. Precision is undefined when nothing is treated, and must be reported as undefined rather than as zero.","Bounded in [0, 1]. Recompute from the raw counts. A low precision at a deliberately low threshold is by design, not a failure.",,"Chapter 9, Section 9.7"
B.10.5,recall,Recall (true positive rate),B.10,Classification and ranked targeting,"Of the customers who really were leaving, how many did we reach?",True positives / (true positives + false negatives),True positives,All actual positives,The outcome window,"The evaluated set, at one stated threshold","One case, reported for the evaluated set",Proportion,Predicted class and actual label,"Coverage of the at-risk class. On the worked file, recall of 0.67 at the 0.50 threshold means a third of the departing customers walked out untreated.","Reading it without precision. The two move in opposite directions as the threshold falls, so either alone can be made to look good.","Bounded in [0, 1]. Recall and the false negative rate must sum to 1.",,"Chapter 9, Section 9.7"
B.10.6,f1,F1 score,B.10,Classification and ranked targeting,"How do precision and recall trade off, weighted equally?",2 x precision x recall / (precision + recall) - the harmonic mean,Twice the product of precision and recall,Their sum,The outcome window,"The evaluated set, at one stated threshold",One evaluated set,"Unitless, between 0 and 1",Precision and recall,"Harmonic rather than arithmetic, so it punishes imbalance between the two: precision 0.9 with recall 0.1 posts an F1 near 0.18, not a flattering 0.5.","Optimizing it and calling the result optimal. It weights the two errors equally, and the entire threshold apparatus exists because the two errors are not equally priced.","Bounded in [0, 1]. Use it only where costs are genuinely unpriced, and treat that as a temporary condition.",,"Chapter 9, Section 9.7"
B.10.7,fpr_fnr,False positive rate and false negative rate,B.10,Classification and ranked targeting,"How are the model's errors distributed across the two classes, and across groups?",False positive rate = false positives / all actual negatives. False negative rate = false negatives / all actual positives,"False positives, or false negatives","All actual negatives, or all actual positives",The outcome window,The evaluated set at the threshold the program will actually use; reported per group in a fairness screen,"One evaluated set, or one group within it",Proportion,"Predicted class, actual label, and the grouping attribute","The pair a fairness screen compares across groups, at the operating threshold rather than on average scores.",Computing them on small groups. A fairness appendix that reports a 0.00 false negative rate on a group of nine has produced noise with a decimal point.,"Report the group size beside every rate. This guide screens out groups below roughly fifty cases, which is a course convention rather than a statistical boundary: the precision of a group's error rates depends on how many positives and negatives it holds, not on its total size alone.",,"Chapter 9, Section 9.12.10"
B.10.8,auc,ROC AUC,B.10,Classification and ranked targeting,"How well does the model order cases, independent of any threshold?","The area under the curve traced by the true positive rate against the false positive rate across the full threshold sweep; equivalently, the probability that a randomly chosen positive outranks a randomly chosen negative, with ties counted as half",Not applicable - an area,Not applicable,The outcome window,Cross-validated on training folds during development; once on the sealed test set for the grade,One model on one population,"Unitless, between 0 and 1; 0.5 is chance",Continuous scores and the actual label,"A ranking measure and a poor sole criterion. A model with the highest overall AUC can be inferior in the top two deciles, inferior near the operating threshold, worse calibrated, and worth less money.",Comparing a binary flag's AUC with a continuous score's. A flag has one nontrivial operating point and the two figures are not comparable. Separately: an AUC far above what the label definition and honest baselines would support is a leak until proven otherwise.,Assert that a constant-score classifier returns 0.5. Multiplying every score by a constant leaves AUC unchanged while breaking every economic calculation built on those scores.,,"Chapter 9, Section 9.8"
B.10.9,calibration,Calibration (reliability) check,B.10,Classification and ranked targeting,Do the model's predicted probabilities match observed event frequencies?,"Within score bins, compare the mean predicted probability against the observed positive rate; report the difference and the count in each bin",Observed positives within the bin; dividing by the bin's case count gives the observed positive rate,Cases in the bin,The outcome window,"Out-of-fold predictions on training customers only. Calibration is repaired using training evidence, never by adjusting a model repeatedly against the test set.",One score bin,Probability points,"Predicted probabilities, actual labels, and a declared binning","Distinct from discrimination, and neither implies the other. Calibration is the property that entitles a threshold derived from expected costs to be applied to raw scores.",Applying an economically derived threshold to uncalibrated scores. That is not a small technical error; it prices a decision in a currency the model does not print.,"Print the count per bin, since a bin holding eleven customers cannot support a calibration verdict. Read the two bins straddling the operating threshold first: a model beautifully calibrated at 0.05 and off by fifteen points at 0.30 is miscalibrated where it matters.",,"Chapter 9, Section 9.8"
B.10.10,decision_threshold,Decision threshold,B.10,Classification and ranked targeting,Above what probability is treating a customer worth the cost?,"Cost of treating / expected benefit of treating a true positive. At StyleCraft, $12 / $40 = 0.30",The certain cost per treated customer,"The expected benefit per treated true positive, itself the save rate times the value of a save",The program's planning horizon,Applied to calibrated probabilities,One policy,Probability,"A costed treatment, a save-rate estimate, and a value-of-a-save estimate",Not a property of the model but a policy choice. The software default of 0.5 embodies the assumption that the two errors cost the same and inherits its authority from nothing else.,"Accepting the default. Four conditions ride on the derived threshold: the scores must be calibrated, the cost inputs are estimates, the save rate is a causal claim that observational machinery cannot certify, and the arithmetic assumes every customer shares one benefit figure.","Re-derive it from the stated costs and publish the sensitivity: at a $30 benefit the cut moves to 0.40, at $60 to 0.20. A threshold that swings widely under plausible inputs is telling the program that its economics are the binding uncertainty.",,"Chapter 9, Section 9.9"
B.10.11,treatment_rate,Treatment rate (treated share),B.10,Classification and ranked targeting,"What share of the population, or of a group, does this policy treat?",Cases scoring at or above the threshold / cases in the population or group,Cases at or above the threshold,Cases in the population or group,As of the scoring run,"The stated group, at the threshold the program will actually use","One population, or one group within it",Proportion,"Scores, the threshold, and the grouping attribute","The economic threshold answers whom it is worth treating; the budget answers how many treatments are affordable, and nothing forces the two answers to agree.","Setting the treated-list size first - a round number, a platform tier limit, last year's list - and never reconciling it against the gains curve.","Report it beside the capacity. Where the threshold marks more customers than the budget covers, either cut by rank or take the gap to the meeting as a priced argument.",,"Chapter 9, Section 9.9"
B.10.12,expected_net_value,Expected net value,B.10,Classification and ranked targeting,What is this policy worth against its cost?,"True positives x benefit − treated x cost; per thousand customers, scaled by 1,000 / evaluated cases","Benefit earned on true positives, less cost spent on everyone treated","For the per-thousand form, the evaluated case count",The outcome window,One policy at one threshold,"One policy, reported per population or per thousand customers","Dollars, or dollars per thousand customers","The confusion-matrix counts, a costed treatment, and a benefit estimate","On the worked file: treat nobody, $0; the model at 0.50, +$32; the model at 0.30, +$48; the ninety-day incumbent rule, -$8; treat everyone, exactly $0. The threshold, not the model, moved the program from $32 to $48.",Computing it from raw scores that were never checked for calibration.,Per-thousand scaling keeps folds and populations of different sizes comparable. Confirm the blanket policy's arithmetic from the base rate alone as a check.,,"Chapter 9, Section 9.9"
B.10.13,lift_decile,Lift by decile,B.10,Classification and ranked targeting,How much richer in the target class is each slice of the ranked file than a random one?,The decile's positive rate / the base rate of the whole evaluated file,Positive rate within the decile,The base rate of the evaluated file,The outcome window,"The evaluated file, ranked by score and cut into ten equal-count groups with ties broken deterministically",One decile of cases,"Ratio, expressed as a multiple of the base rate","Scores, labels, and a deterministic ranking","A number with its baseline built in, which is why it survives in industry vocabulary. Lift should be strongest in the early deciles and weaken as the list deepens.",Hunting a non-monotone middle. Perfect monotonic decline is not guaranteed in a finite sample; a non-monotone middle is a finding about where the ordering blurs. What would be an error is a top decile whose lift sits near 1.0.,"Rank before cutting, so the ten groups are equal in size regardless of how many cases share a score. That is what makes lift comparable across deciles.",,"Chapter 9, Section 9.10"
B.10.14,cumulative_gains,Cumulative gains,B.10,Classification and ranked targeting,"Treating down to this depth of the list, what share of all positives do we reach?",Running cumulative positives through this decile / total positives in the evaluated file,Cumulative count of actual positives through the decile,Total positives in the evaluated file,The outcome window,"The evaluated file, score-ranked",One cumulative depth of the ranked file,Proportion of all positives,"Scores, labels, and a deterministic ranking",Read against the diagonal that random targeting would trace. It reaches 1.0 at the whole file by definition.,Reading the curve correctly and then computing the program's return from raw scores nobody checked for calibration.,"Assert the last value is exactly 1.0. Plot the incumbent rule as a single point, not a curve: a fixed policy has one operating point.",,"Chapter 9, Section 9.10"
B.10.15,odds_ratio,Odds ratio,B.10,Classification and ranked targeting,By what factor do the odds of the outcome change per unit of this predictor?,The exponentiated logistic coefficient,Not applicable - a multiplicative factor,Not applicable,The estimation window,"The interpretive model, fitted without regularization and never used to treat anyone",One predictor,Multiplicative factor on the odds,A fitted logistic coefficient,"Because the logistic curve is steepest at even odds, the same odds ratio moves a mid-risk customer's probability substantially and a low-risk customer's barely at all. Statements about percentage-point changes in probability are honest only with a stated starting point.",Reading these as causal. They are associations wearing precise multiplicative clothing: 'app users churn less' earns its verb while 'the app retains customers' does not.,Report the interval on the odds-ratio scale. An interval straddling 1.0 is honest evidence of a weak association and should be reported as such rather than by quoting the point estimate alone.,,"Chapter 9, Section 9.4"
B.11.1,forecast_error,Forecast error (signed),B.11,Forecast evaluation,"By how much, and in which direction, did the forecast miss?","Actual − forecast, for each evaluated period",Actual less forecast,None - it is a difference,Each evaluated period inside the forecast horizon,Periods with both an actual and a forecast present,"One period - for StyleCraft, one day","The series' own units, in dollars",Actual and forecast series aligned on the same index,"Positive means the forecast undershot. The sign convention must be stated, because the season-total miss is conventionally computed the other way round.","Reporting only absolute error, which hides a persistent one-directional miss.",Confirm the sign convention in the same sentence as the number.,,"Chapter 10, Section 10.7"
B.11.2,forecast_bias,Forecast bias (mean signed error),B.11,Forecast evaluation,Does this method systematically run high or low?,The mean of the signed errors across the evaluated periods,Sum of signed errors,Number of evaluated periods,"Rolling origins, or a sealed holdout",Evaluated periods only,One method on one series,"The series' own units, signed",Actual and forecast series,"Where a trending, expanding series announces whether a method is systematically low. Every candidate that cannot climb is biased low on an expanding series, which is a fact about the business rather than about the software.","Treating a run of same-signed errors as noise. Seven positive errors in a row is a persistent undershoot, not bad luck.",Report it beside the absolute measures; mature demand-planning organizations track signed error as seriously as absolute error.,,"Chapter 10; operationalized in code, and cataloged here because the chapter defines it nowhere else"
B.11.3,mape,Mean absolute percentage error (MAPE),B.11,Forecast evaluation,How large are the forecast's misses relative to the size of what actually happened?,"For each period, the absolute error divided by the actual, averaged across evaluated periods and multiplied by 100",Absolute error in each period,That period's actual value,The evaluated periods,Requires strictly positive actuals; disqualified for any series that touches or approaches zero,"One period, then averaged",Percentage,Actual and forecast series,"Scale-free, which makes it planning's shared currency for forecast accuracy.","Reporting it over a near-zero denominator. On the worked week a single storm-closed day of $400 turns a forecast whose typical daily miss is under three percent into a reported MAPE of 259.6 percent - one denominator, not seven bad forecasts, produced the number, and six of the seven days were still forecast within ten percent.","Assert that every denominator is strictly positive and refuse to return a number otherwise. Print the minimum denominator and a count of thin days beside every MAPE displayed. The sentence that must accompany it: the denominator, not the forecast, produced the number.",,"Chapter 10, Section 10.7"
B.11.4,horizon_error,Accuracy by horizon,B.11,Forecast evaluation,How does forecast error grow as the forecast reaches further out?,"MAE and MAPE computed separately within each block of the horizon, pooled across forecast origins",Errors within the horizon block,Periods in the block times the number of origins,"Equal blocks of the forecast horizon, from each origin",The selection window's origins only,"One horizon block, pooled across origins","The series' units, and percentage",Actual and forecast series from multiple origins,"Expected error rises with horizon; realized error need not rise at every step. A flat or falling curve is a signal to inspect rather than a diagnosis: it can mean the origins sit too close together or the horizon is too short, and it can mean the series is genuinely no harder to forecast at range.","Quoting the count of daily errors as though they were independent observations, which overstates a weekly row's stability sevenfold. Report the number of independent origins separately from the number of daily errors.","Report the spread across origins at each horizon beside the mean, and print whether the curve rises monotonically rather than assuming it.",,"Chapter 10, Section 10.7"
B.11.5,naive_baselines,Naive and seasonal-naive baselines,B.11,Forecast evaluation,"What accuracy is available for free, before any model is fitted?",The naive rule extends the last observed value flat across the horizon. The seasonal-naive rule repeats the last full seasonal period.,Not applicable,Not applicable,The same evaluation window as the candidate,A declared seasonal period - seven for daily data with a weekly rhythm,The series' own grain,The series' units,The historical series and a declared period,"At a seven-day lag the seasonal-naive rule repeats last week, not last December. It carries the weekly rhythm for free and cannot climb a trend.",Reporting a fitted model's accuracy without its margin over the seasonal-naive rule. A forecaster who cannot state that margin does not know whether the model is contributing anything.,Compute both on identical origins. A margin smaller than the noise band is not yet a finding.,,"Chapter 10, Section 10.5"
B.11.6,prediction_interval,Prediction interval and coverage,B.11,Forecast evaluation,"What range of outcomes does the model consider plausible, and did reality land inside it?",Nominal coverage is the interval's stated probability. Realized coverage is the share of evaluated periods that landed inside the band.,Evaluated periods falling inside the band,Number of evaluated periods,"The evaluated horizon, from a stated number of forecast origins",Evaluated periods only,One period; also reported by horizon block where the periods permit it,Percentage for coverage; the series' units for width,Forecast bounds and actuals,"Coverage alone is badly incomplete, because an arbitrarily wide interval achieves perfect coverage while saying nothing. Publish the width beside the coverage so that no one can buy the second by inflating the first.",Adding up the edges of interval bounds to get an interval for a total. A quantile of a sum is not the sum of the quantiles: aggregate the simulated paths first and take quantiles second.,"Report nominal coverage, realized coverage, mean width, the number of evaluated periods, and the number of independent origins together. Coverage of 94 percent on sixty-one dependent daily observations is a reason to investigate, not a verdict.",,"Chapter 10, Section 10.8"
B.12.1,arm_conversion_rate,Treatment and control conversion rate,B.12,Experiment and causal evidence,What share of each randomized arm converted?,Assigned customers with at least one qualifying order in the outcome window / assigned customers in the arm,Assigned customers with at least one qualifying order in the window,"All assigned customers in the arm, whether or not the message reached them",A stated number of days following each customer's assignment,Intention to treat: every randomized customer with an observed outcome stays in the arm they were assigned to. A delivery failure is operational evidence and is not by itself grounds for removing anyone.,"One customer, the unit of randomization","Proportion, reported as a percentage","variant, converted, assign_date, customer_id",A customer who converts three times in the window is one conversion in a rate whose denominator is customers.,"Switching the numerator to orders, which changes the question without saying so. Separately, filtering on anything measured after assignment breaks the randomization that the whole design bought.","Bounded in [0, 1]. Reconcile the assignment flow: randomized, outcome observed, and included in the primary analysis, with any shortfall named.",,"Chapter 11, Section 11.6"
B.12.2,absolute_lift,Absolute lift,B.12,Experiment and causal evidence,"How much did the treatment change the outcome, on the metric's own scale?",Treatment rate − control rate,The difference between the two arm rates,None - it is a difference,The stated outcome window,"Intention to treat, both arms","One customer, reported for the experiment","Percentage points, when the metric is a rate",Both arm rates and both arm sizes,The quantity that scales to business volume: multiplying it by the number of customers reached gives the incremental count directly. StyleCraft's test recovers +1.80 points against a 6.00 percent control rate.,"Reporting it without the control rate beside it, or reporting only the relative figure. Thirty percent of an unstated base is not a quantity.","Report the absolute lift first in percentage points with the control rate stated beside it, then the relative lift, then the translation into incremental conversions and dollars.",,"Chapter 11, Section 11.6"
B.12.3,relative_lift,Relative lift,B.12,Experiment and causal evidence,How large was the change against its own baseline?,Absolute lift / control rate,The absolute lift,The control rate,The stated outcome window,"Intention to treat, both arms",One experiment,Percentage change - not percentage points,Both arm rates,Systematically the larger and more persuasive of the two whenever the baseline rate is small. StyleCraft's 1.80-point lift is a 30 percent relative lift.,"Treating transportability as a statistical fact. A relative lift transfers to a different baseline only if the effect really is multiplicative in the baseline, which is an empirical hope rather than a property of the statistic.","Compute its interval as a ratio, never by rescaling the difference interval by the observed control rate; that treats an estimate as a known constant and produces an interval that is too narrow and wrongly centered.",,"Chapter 11, Section 11.6"
B.12.4,ci_difference,Confidence interval on a difference in proportions,B.12,Experiment and causal evidence,What range of true effects is consistent with what we observed?,"estimate ± z\* × SE, with z\* = 1.96 for a conventional 95 percent interval, where the standard error of a difference in two proportions is built from each arm's own rate and size",Not applicable,Not applicable,The stated outcome window,"Intention to treat, both arms",One experiment,Percentage points,Both arm conversion counts and both arm sizes,"StyleCraft's interval runs from 0.81 to 2.79 percentage points - a range of more than three to one in business terms, from a point estimate that looks precise.","Reporting the point estimate alone, or presenting an interval far narrower than the arm sizes support, which usually means the analysis slipped to a finer grain than the randomization.","The unpooled standard error uses each arm's own rate and is the one behind the interval; the pooled version belongs to the test statistic. On StyleCraft's numbers they differ in the fourth decimal, which is why nobody notices when the wrong one is used.",,"Chapter 11, Section 11.6"
B.12.5,treatment_dose,Treatment dose,B.12,Experiment and causal evidence,"How many times, and when, does a treated unit receive the intervention?","A declared count and timing of exposures, stated as part of the intervention's definition",Not applicable - a design parameter,Not applicable,The assignment and outcome windows,Treated arm,One treated customer,Count of exposures,A registration entry; it cannot be recovered from the outcome data,The dose fixes the cost per assigned customer and therefore the break-even lift. An experiment run at one alert per drop licenses a rollout at one alert per drop.,Rolling out at a different frequency. That is a different intervention whose economics and whose response must both be re-derived; at two alerts StyleCraft's break-even doubles to 0.86 points and the same measured interval no longer clears it at its lower end.,"Declare it before the test runs, and quote it in the same sentence as any economic conclusion.",,"Chapter 11, Section 11.7"
B.12.6,break_even_lift,Break-even lift,B.12,Experiment and causal evidence,What lift would this program need just to pay for itself?,"Cost per assigned customer / contribution per incremental conversion, where cost per assigned customer is cost per exposure times the dose",Cost per assigned customer,Contribution per incremental conversion,The program's own window,"Assigned customers, at the tested dose",One program at one dose,Percentage points,"A costed exposure, a declared dose, and a contribution estimate","StyleCraft's Drop Alert costs $0.12 per assigned customer against $28 of contribution per incremental conversion, so the break-even lift is 0.43 percentage points.","Comparing it against the point estimate. The comparison is made against the whole interval: if the lower bound clears the line the program pays even in the pessimistic world the data still permits; if the line falls inside the interval, the honest report is that the evidence does not settle the question.","Undefined until the dose is stated. Publish a sensitivity grid across plausible contribution figures and doses, flagging any cell that falls inside the confidence interval.",,"Chapter 11, Section 11.7"
B.12.7,incremental_value,Incremental conversions and net contribution,B.12,Experiment and causal evidence,What is the program worth per thousand customers at the tested dose?,"Incremental conversions = absolute lift x 1,000. Net contribution = incremental conversions x contribution per conversion − 1,000 x cost per assigned customer","Contribution earned on incremental conversions, less program cost",Not applicable; the per-thousand scaling is the reporting convention,The program's own window,Enrolled customers at the tested dose,One thousand customers enrolled,Dollars per thousand customers,"The lift and its interval, a contribution estimate, and a costed dose","On StyleCraft's numbers: at the point estimate, 18.0 incremental conversions worth $504.00 against $120.00 of cost, a net of $384.00; at the interval's pessimistic edge, $106.80; at its optimistic edge, $661.20. The decision does not hinge on which end proves true.","Attaching the phrase 'at any scale'. The arithmetic assumes cost is linear in customers reached, contribution per conversion is stable, no fixed implementation cost amortizes, no capacity or inventory constraint binds, unsubscribe and fatigue costs are zero, and response does not diminish as the program scales. Several of those are known to weaken at rollout.","Compute at all three points of the interval, not only the estimate. Scrutinize the contribution figure: it is an average across observed orders, and the orders an incremental converter places need not carry the same mix or margin.",,"Chapter 11, Section 11.7"
B.12.8,observational_difference,Observational difference (targeted versus untargeted),B.12,Experiment and causal evidence,How did the customers who received the program differ from those who did not?,Rate among those who received − rate among those who did not,The difference between the two observed group rates,None - it is a difference,Stated period,Groups formed by whatever mechanism assigned the treatment in the record - which is precisely what is unknown,"One customer, reported for the two groups",Percentage points,The outcome and a treatment indicator,A true fact about the records and a false answer to the causal question. StyleCraft's observational difference of 5.30 points decomposes exactly into a 1.80-point within-stratum difference and a 3.50-point composition component - two thirds of the headline was who got the treatment.,"Reporting it with a causal verb. Before quoting any comparison as evidence about a decision, state how each side was selected and what would have made the two sides differ even if the treatment had never existed.","Where a confounder happens to be recorded, standardize on the treated group's own mix and report the composition component beside the adjusted difference. The two components must sum exactly to the naive difference.","An adjusted difference, standardized on measured covariates, is stronger evidence and is still not a causal effect: adjustment corrects only the imbalances the analyst can name.","Chapter 11, Section 11.3"
B.12.9,power_mde,Statistical power and minimum detectable effect,B.12,Experiment and causal evidence,Is this test large enough to find an effect worth acting on?,Power is the probability of detecting an effect of a stated size at a stated significance level and sample size; the minimum detectable effect is the smallest effect the design can reliably detect,Not applicable,Not applicable,The planned test duration,"Per arm, two-sided, at a declared significance level",One customer per arm,Probability for power; percentage points for the minimum detectable effect,"A baseline rate from history, a declared minimum detectable effect, and a target power","The minimum detectable effect is a business judgment, not a statistic. StyleCraft registers 1.5 points, needs 4,379 per arm, and runs 5,000.","Running underpowered and reading a null as no effect. Required sample size grows roughly with the inverse square of the smallest effect worth detecting - at 0.5 points the same design would need 36,778 per arm - and an underpowered test's significant results systematically overstate the effect's size.","Register the baseline, the minimum detectable effect, the significance level, and the power before the test runs.",,"Chapter 11, Section 11.5"
B.12.10,did,Difference-in-differences,B.12,Experiment and causal evidence,What changed in the treated group beyond what changed anyway?,"The treated group's change from before to after, less the comparison group's change over the same periods",Treated change less comparison change,None - it is a difference of differences,Equal pre and post periods for both groups,A comparison group chosen before the outcome is seen,"The unit at which the treatment was applied - market, store, or customer",The outcome's own units,Outcomes for both groups in both periods,"Rests on parallel trends, which cannot be verified, only supported. A pre-post report with no comparison group would have credited the campaign with the whole treated change.","Reporting the pre-post difference alone. It is a causal claim with no comparison group, whose implicit counterfactual is that nothing else would have changed.",Plot both series over a long pre-period and inspect whether they moved together before the intervention. License only the sentence that begins 'under the stated parallel-trends assumption'.,,"Chapter 11, Section 11.9"
B.13.1,weekly_contribution,Weekly contribution,B.13,Dashboard and decision,"Is this store covering its own variable cost, week by week?",Sum of (line_revenue − line_cost) within store and store-age week,Contribution on the store's lines in the week,None - it is a total,"One store-age week, on a scaffold that carries every open observable week","The declared store population; a week that is open and observable but carried no orders is zero, not missing",One store-week,Dollars per week,"line_revenue, line_cost, store_id, order_date, opening_date",The unit in which a new store's ramp is read against the fixed cost it must eventually carry.,"Dropping the zero-order weeks. That removes the weakest observations from any benchmark computed over them and biases the benchmark upward, in the direction that makes a new store's ramp look worse than it is.",Reconcile the sum across store-weeks to the certified revenue and cost totals for the same population.,,"Chapter 13, Section 13.12.1"
B.13.2,contribution_4wk,Four-week moving average of weekly contribution,B.13,Dashboard and decision,"What is this store's underlying weekly contribution, with single-week noise damped?","The mean of weekly contribution over the current store-age week and the previous three, computed within store, ordered by store age, and returning missing until four observable weeks exist",Contribution over the trailing four store-weeks,Four store-weeks,"Store-age weeks, from each store's own opening",Grouped by store; ordered by store age ascending,One scaffold store-week,Dollars per week,Weekly contribution on a complete store-week scaffold,"Every one of the five properties - the grouping, the ordering, the measure, the window, and the behavior before the window fills - has to be stated, because a moving calculation with any of them left to a default computes a different number and the difference is invisible in the output.","Computing it on a series with missing weeks, which averages the wrong four weeks.",Confirm it returns missing for the first three weeks of each store rather than averaging a partial window.,,"Chapter 13, Section 13.12.2"
B.13.3,weekly_footprint,Weekly fixed footprint (the coverage threshold),B.13,Dashboard and decision,How much weekly contribution does a store need to carry its own fixed cost?,"The declared annual fixed footprint / 52. At StyleCraft, $92,000 / 52 = $1,769.23","The annual fixed footprint, a finance planning assumption",52 weeks,"Annual, expressed weekly","The population the finance assumption covers - new suburban and resort stores, with no figure supplied for the flagship format",One store-week; drawn as a constant reference line,Dollars per week,"A finance assumption, attributed to finance and declared before results are inspected",Must be attributed to finance rather than to the data. A constant is correct here and a computed reference would be wrong.,Choosing it after the crossing weeks are known. A threshold chosen after the fact is not a benchmark but a description.,"Label the line with what it is, not with its value: weekly contribution carrying the $92,000 annual footprint, finance assumption, suburban and resort.",,"Chapter 13, Section 13.12.1"
B.13.4,revenue_at_coverage,Weekly revenue at coverage,B.13,Dashboard and decision,How much weekly revenue does the footprint threshold correspond to?,"Weekly fixed footprint / contribution margin, on the same population. At StyleCraft, $1,769.23 / 0.46 = $3,846.15",The weekly fixed footprint,The contribution margin of the same population,Weekly,"Suburban and resort stores, for both the threshold and the margin",One store-week,Dollars of revenue per week,The threshold and a population-matched contribution margin,"A within-population conversion, and the only place that population's margin may be used.","Applying this population's margin to a chain-level quantity, or the chain's margin to this one.","If the contribution margin moves by more than a point, the revenue threshold changes and every figure quoting it must be rebuilt before any title uses it.",,"Chapter 13, Section 13.1"
B.13.5,first_coverage,First observed weekly coverage,B.13,Dashboard and decision,When did this store first cover its fixed footprint in a single week?,The earliest store-age week in which weekly contribution reaches the declared weekly threshold,Not applicable - a week index,Not applicable,Store-age weeks from the store's own opening,Stores with enough observed history for the question to be meaningful,One store,Store-age week number,Weekly contribution and the declared threshold,"A coverage milestone, not a payback period. It returns the same answer with or without the scaffold, because a week with no orders cannot be the first week above a positive threshold.",Reading it off a plotted line rather than computing it. A first-coverage week of 0 or 1 usually means the threshold was applied to revenue rather than to contribution.,Compute it; do not read it. Confirm it is no later than the four-week-average coverage week for the same store.,,"Chapter 13, Section 13.12.1"
B.13.6,first_coverage_4wk,First four-week-average coverage,B.13,Dashboard and decision,When did this store first reach its footprint on a smoothed basis?,The earliest store-age week in which the four-week moving average of weekly contribution reaches the declared weekly threshold,Not applicable - a week index,Not applicable,Store-age weeks; the average returns missing until four observable weeks exist,The mature store population,One store,Store-age week number,The four-week moving average and the declared threshold,"The go/no-go dashboard's decision measure, preferred to the raw crossing because it is harder to produce by accident.","Describing a smoothed first crossing in the language of the stricter one. It is not a claim that the store held coverage, stayed above the line, or established durable coverage.",A four-week-average coverage week earlier than the same store's observed week is arithmetically impossible; assert it. The gap between the two is itself readable: a store whose weeks are close crossed on strength its neighboring weeks shared.,,"Chapter 13, Section 13.12.1"
